rol_a,dv_a,unidad_declarante,cod_actividad,macrozona,imasd,d4300,d4301,d4302,d4303,d4310,d4311,d4312,d4313,d4320,d4321,d4322,d4323,d4330,d4331,d4332,d4333,d4400,d4401,d4402,d4403,d4404,d4405,d4410,d4411,d4412,d4413,d4414,d4415,d4420,d4421,d4422,d4423,d4424,d4425,d4430,d4431,d4432,d4433,d4434,d4435,d4500,d4501,d4502,d4503,d4504,d4505,d4510,d4511,d4512,d4513,d4514,d4515,d4520,d4521,d4522,d4523,d4524,d4525,d4530,d4531,d4532,d4533,d4534,d4535,d4600,d4601,d4602,d4603,d4604,d4605,d4606,d4700,d4701,d4702,d4703,d4704,d4705,d4706,d4707,d4717,d4708,d4709,d4710,d4711,d4712,d4713,d4714,d4716,d4715,d4800,d4801,d4802,d4810,d4811,d4812,d4820,d4821,d4822,d4830,d4831,d4832,f6010,f6011,f6012,f6013,f6014,f6015,f6016,f6017,f6018,f6019,f6020,f6021,f6022,f6023,f6023_otra,f6024,f6025,f6026,f6027,f6028,g7000,g7001,g7002,h8100,h8101,h8102,h8103,h8104,h8105,h8106,h8107,h8108,h8109,h8110,h8111,h8111_otro,i9000,a1003,a1019,a1019_otra,a1034,a1035,a1036,a1037,a1038,b2000,b2001,b2002,b2003,b2004,b2005,b2006,b2007,b2026,b2027,c3000,c3001,c3002,c3003,c3004,c3005,c3006,c3007,c3008,c3009,c3010,c3011,c3013,c3014,c3015,c3016,c3017,c3018,c3019,c3020,c3021,c3022,c3023,c3024,c3025,c3026,c3027,c3028,c3029,c3030,c3036,c3037,c3038,c3039,c3040,c3041,c3042,c3043,c3044,c3045,c3046,c3047,c3048,c3049,c3050,c3051,c3052,c3053,c3054,c3055,c3056,c3057,c3058,c3059,c3060,c3061,c3062,c3063,c3064,c3065,c3066,c3067,c3068,c3069,c3070,c3071,c3072,c3073,c3100,c3107,c3110,c3111,c3112,c3113,c3114,c3115,c3126,c3127,c3128,c3129,c3130,c3131,c3132,c3133,c3134,c3135,c3136,c3137,c3138,c3140,c3141,c3142,c3143,c3144,j8000,j8001,j8002,j8003,j8004,j8005,j8006,j8007,j8008,j8009,j8010,j8011,j8012,j8013,j8014,j8015,j8016,j8017,j8018,j8019,j8020,j8021,j8022,j8023,j8024,j8025,j8026,j8027,j8028,j8029,j8030,j8031,j8032,j8033,j8034,j8035,j8036,j8037,j8038,j8039,j8040,j8041,j8042,j8043,j8044,j8045,j8046,j8047,j8048,j8049,j8050,j8051,j8052,j8053,j8054
20000,3,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,40000,0,1,,,,1,0,0,0,0,0,0,,2,1981,4,0,100,0,0,1,0,4121296,0,73,17,1,0,0,91,0,,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42063,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,5,4,3,1,1,8,0,9,17,2,0,0,2,8,0,9,17,2,0,0,2,0,0,7,1,9,17,0,0,1,1,0,2,0,0,7,1,9,17,0,0,1,1,0,2,0,0,7,1,0,8,0,0,1,1,0,2,0,0,7,1,0,8,0,0,1,1,0,2,0,8,0,0,0,0,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,17,0,17,2,0,2,17,0,17,2,0,2,,,,,,,,,,,,,,,,,,,,,1,0,400000,0,1,,,,1,0,0,0,0,0,0,,4,1986,4,0,100,0,0,0,1,44268565,43920968,350,220,0,0,0,570,325,,1,0,0,0,0,1,224820,0,56205,281025,0,0,10354,298816,0,14791,56163,0,70954,369770,10,20,70,0,0,369770,0,0,0,0,0,369770,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,369770,0,17791,,0,0,1,,,0,0,0,2820,1617,3000,0,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,7,4,6,1,1,6.75,6,0,12.75,1,2,0,3,3.3125,3.2,0,6.5124998,.30000001,.89999998,0,1.2,.75,0,5.75,1.25,5,12.75,0,0,2,0,1,3,.75,0,2.55,.41249999,2.8,6.5124998,0,0,.69999999,0,.5,1.2,.75,0,4.75,1.25,0,6.75,0,0,1,0,0,1,.75,0,2.1500001,.41249999,0,3.3125,0,0,.30000001,0,0,.30000001,0,1.35,0,1.9625,0,0,3.3125,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,12,.75,12.75,3,0,3,5.7624998,.75,6.5124998,1.2,0,1.2,,,,,,,,,,,,,,,,,,,,,1,0,240000,1,0,1,0,3,,,,,,,,,24,1993,6,0,100,0,0,1,0,56018736,13869620,71,182,4,0,150,407,280,,1,0,0,0,0,1,137025,38761,0,175786,23319,10789,17950,245622,0,0,0,0,0,245622,0,50,50,0,0,245622,0,0,0,0,0,245622,,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,245622,0,69836,,0,0,1,,,23319,0,0,4380,13398,0,0,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,0,4,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,1,0,1,0,0,0,0,0,0,0,,,,4,0,0,0,1,,0,1,,,,1,1,1,0,0,0,0,,1,1908,4,0,100,0,0,0,1,5798639,176000,140,7,1,0,0,148,4,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,2,4,5,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,1,0,0,0,1,0,0,0,,,,4,0,0,0,1,,0,1,,,,0,1,0,0,0,0,0,,2,1982,2,0,100,0,0,0,1,4171345,0,53,7,0,0,0,60,0,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,4,4,4,2,1,15.3333,2,0,17.3333,5.9166999,1,0,6.9166999,4.4724002,1.933,0,6.4053998,1.8498,.93300003,0,2.7828,0,3.0833001,12.25,2,0,17.3333,0,1,4.9166999,1,0,6.9166999,0,1.1503,3.3220999,1.933,0,6.4053998,0,.46700001,1.3828,.93300003,0,2.7828,0,3.0833001,12.25,0,0,15.3333,0,1,4.9166999,0,0,5.9166999,0,1.1503,3.3220999,0,0,4.4724002,0,.46700001,1.3828,0,0,1.8498,0,1.3588001,2.5746,.53899997,0,0,4.4724002,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,17.25,.083300002,17.3333,6.9166999,0,6.9166999,6.3720999,.033300001,6.4053998,2.7828,0,2.7828,,,,,,,,,,,,,,,,,,,,,1,0,200000,1,0,1,0,3,,,,,,,,,12,1931,4,0,100,0,0,0,1,9479773,570886,100,89,5,1,0,195,0,,1,0,0,0,0,1,159162,16747,0,175909,5887,0,9439,245688,0,11667,0,0,11667,257355,0,70,30,0,0,257355,0,0,0,0,0,257355,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,15,75,10,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,,257355,0,69779,,0,0,1,,,5887,0,0,33173,0,21280,0,0,1,,,0,0,1,30,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,6,4,5,2,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,1,0,1,1,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,1,0,52000,0,1,,,,0,0,0,0,0,0,1,MUY ENGORROSO,4,1981,8,0,100,0,0,0,1,10821880,30000,118,7,4,0,0,129,0,,1,0,0,0,0,1,30720,0,0,30720,0,0,3210,37820,0,0,810,1452,2262,40082,0,70,30,0,0,40082,0,0,0,0,0,40082,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,40082,0,7100,,0,0,1,,,0,0,0,350,880,2060,600,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007,8,4,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,0,0,0,0,0,0,1,LA EMPRESA  SOLO IMPLEMENTA TECNOLOGIAS EXISTENTES O INVESTIGACIONES REALIZADAS POR OTROS,,,14,0,0,1,0,100000,0,1,,,,0,0,0,0,1,0,0,,20,1990,8,0,100,0,0,0,1,67889771,3524,450,45,0,0,0,495,110,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20008,1,4,6,2,1,6,0,0,6,0,0,0,0,.12,0,0,.12,0,0,0,0,0,0,4,2,0,6,0,0,0,0,0,0,0,0,.079999998,.039999999,0,.12,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0,0,0,0,0,0,.079999998,.039999999,0,.12,0,0,0,0,0,0,0,0,0,.12,0,0,.12,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,6,0,6,0,0,0,.12,0,.12,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,10500,0,1,,,,0,1,0,0,0,0,0,,24,1979,4,0,0,100,0,1,0,18762020,10254106,106,23,0,0,69,198,25,,0,0,1,0,0,1,5563,0,0,5563,0,0,5,5583,0,0,0,0,0,5583,0,0,100,0,0,5583,0,0,0,0,0,5583,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,10250,5583,0,20,,0,0,1,,0,0,0,0,15,0,0,0,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20009,3,4,5,2,1,1,1,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,2,0,2,0,0,0,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0,50000,0,1,,,,0,0,0,0,0,0,1,LA POSTULACIÃN A LA LEY NO FUE PARA EL AÃO EN CONSULTA,3,1981,2,0,100,0,0,0,1,19139757,12693884,512,34,2,0,0,548,12,,1,0,0,0,1,0,24900,6300,0,31200,0,0,2000,40200,0,0,0,0,0,40200,20,10,70,15000,0,25200,0,0,0,0,0,40200,,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,,40200,0,9000,,0,0,1,,,0,0,0,1000,1000,5000,0,0,1,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
