Periodo;1.Población de 15 años y más;2.Fuerza de trabajo  Total;3.Ocupados;4.Desocupados;5.Cesantes;6.Buscan trabajo por primera vez;7.Inactivos
01/03/2010;13218,22;7883,69;7156,21;727,47;634,32;93,15;5334,53
01/04/2010;13235,83;7896,52;7198,78;697,74;614,16;83,58;5339,31
01/05/2010;13252,85;7899,82;7181,9;717,91;640,57;77,35;5353,03
01/06/2010;13270,24;7905,92;7221,58;684,34;607,9;76,44;5364,32
01/07/2010;13287,4;7931,59;7256,52;675,07;605,99;69,08;5355,82
01/08/2010;13304,97;7960,82;7289,22;671,6;598,31;73,29;5344,15
01/09/2010;13322,18;8042,92;7389,47;653,45;583,94;69,51;5279,26
01/10/2010;13339,87;8042,96;7414,43;628,53;553,17;75,36;5296,91
01/11/2010;13356,96;8087,41;7503,09;584,32;509,26;75,05;5269,54
01/12/2010;13374,82;8160,72;7572,32;588,4;498,84;89,56;5214,1
01/01/2011;13391,93;8227,81;7615,52;612,29;508,32;103,97;5164,12
01/02/2011;13409,57;8233,86;7621,03;612,83;511,24;101,59;5175,72
01/03/2011;13426,84;8246,37;7623,92;622,45;539,12;83,32;5180,47
01/04/2011;13444,43;8250,01;7655,1;594,92;533,76;61,16;5194,42
01/05/2011;13461,55;8269,6;7665,52;604,07;542,04;62,04;5191,95
01/06/2011;13479,2;8296,94;7698,54;598,4;534,96;63,44;5182,26
01/07/2011;13496,49;8285,24;7659,43;625,81;553,14;72,68;5211,25
01/08/2011;13513,93;8308,55;7684,19;624,36;556,14;68,21;5205,38
01/09/2011;13530,96;8323,16;7688,41;634,76;567,36;67,4;5207,8
01/10/2011;13548,29;8322,02;7703,14;618,88;558,94;59,94;5226,27
01/11/2011;13565,24;8327,41;7716,85;610,56;536,7;73,86;5237,83
01/12/2011;13582,71;8356,35;7786,9;569,45;476,85;92,6;5226,35
01/01/2012;13599,73;8391,71;7816,55;575,16;468,68;106,48;5208,01
01/02/2012;13617,06;8424,03;7874,07;549,95;448,52;101,43;5193,03
01/03/2012;13634,05;8416,9;7844,78;572,12;489,67;82,45;5217,15
01/04/2012;13651,32;8419,96;7850,46;569,5;495,42;74,08;5231,36
01/05/2012;13668,45;8422,98;7838,27;584,71;523,28;61,43;5245,46
01/06/2012;13685,79;8388,37;7819,53;568,84;511,57;57,27;5297,42
01/07/2012;13702,81;8367,12;7809,45;557,67;509,52;48,15;5335,69
01/08/2012;13719,16;8356,26;7809,89;546,37;499,4;46,97;5362,91
01/09/2012;13734,65;8428,35;7874,08;554,27;503,64;50,63;5306,31
01/10/2012;13750,41;8455,49;7889,4;566,09;513,41;52,68;5294,92
01/11/2012;13766,03;8462,8;7924,59;538,21;480,92;57,29;5303,23
01/12/2012;13781,87;8480,12;7952,26;527,86;458,74;69,12;5301,75
01/01/2013;13797,33;8520,02;7998,63;521,39;433,6;87,79;5277,31
01/02/2013;13813,22;8535,72;7993,3;542,42;458,04;84,38;5277,49
01/03/2013;13828,72;8539,44;7990,69;548,75;473,17;75,58;5289,28
01/04/2013;13844,59;8580,12;8019,07;561,06;503,88;57,17;5264,47
01/05/2013;13860,18;8579,47;8018,27;561,2;498,75;62,45;5280,71
01/06/2013;13875,93;8538,82;8004,25;534,58;480,46;54,11;5337,11
01/07/2013;13891,5;8486,06;7986,82;499,25;451,38;47,87;5405,43
01/08/2013;13907,45;8506,1;8008,58;497,52;455,8;41,72;5401,35
01/09/2013;13923,1;8509,54;8010,84;498,7;460,18;38,52;5413,55
01/10/2013;13938,84;8537,83;8029,6;508,23;462,6;45,62;5401,02
01/11/2013;13954,62;8569,73;8067,13;502,6;454,8;47,8;5384,89
01/12/2013;13970,56;8649,48;8149,39;500,09;436,39;63,7;5321,08
