Periodo;1.Nacional
mar.2010;9,23
abr.2010;8,84
may.2010;9,09
jun.2010;8,66
jul.2010;8,51
ago.2010;8,44
sept.2010;8,12
oct.2010;7,81
nov.2010;7,23
dic.2010;7,21
ene.2011;7,44
feb.2011;7,44
mar.2011;7,55
abr.2011;7,21
may.2011;7,30
jun.2011;7,21
jul.2011;7,55
ago.2011;7,51
sept.2011;7,63
oct.2011;7,44
nov.2011;7,33
dic.2011;6,81
ene.2012;6,85
feb.2012;6,53
mar.2012;6,80
abr.2012;6,76
may.2012;6,94
jun.2012;6,78
jul.2012;6,66
ago.2012;6,54
sept.2012;6,58
oct.2012;6,69
nov.2012;6,36
dic.2012;6,22
ene.2013;6,12
feb.2013;6,35
mar.2013;6,43
abr.2013;6,54
may.2013;6,54
jun.2013;6,26
jul.2013;5,88
ago.2013;5,85
sept.2013;5,86
oct.2013;5,95
nov.2013;5,86
dic.2013;5,78
ene.2014;6,23
feb.2014;6,18
mar.2014;6,50
abr.2014;6,14
may.2014;6,32
jun.2014;6,52
jul.2014;6,59
ago.2014;6,83
sept.2014;6,76
oct.2014;6,56
nov.2014;6,21
dic.2014;6,21
ene.2015;6,23
feb.2015;6,22
mar.2015;6,23
abr.2015;6,36
may.2015;6,75
jun.2015;6,67
jul.2015;6,69
ago.2015;6,56
sept.2015;6,54
oct.2015;6,45
nov.2015;6,17
dic.2015;5,87
ene.2016;5,92
feb.2016;6,05
mar.2016;6,49
abr.2016;6,61
may.2016;7,03
jun.2016;7,02
jul.2016;7,27
ago.2016;7,07
sept.2016;7,03
oct.2016;6,68
nov.2016;6,40
dic.2016;6,20
ene.2017;6,37
feb.2017;6,77
mar.2017;7,04
abr.2017;7,08
may.2017;7,33
jun.2017;7,31
jul.2017;7,22
ago.2017;6,91
sept.2017;7,00
oct.2017;6,98
nov.2017;6,70
dic.2017;6,51
ene.2018;6,83
feb.2018;7,01
mar.2018;7,38
abr.2018;6,99
may.2018;7,38
jun.2018;7,51
jul.2018;7,85
ago.2018;7,72
sept.2018;7,47
oct.2018;7,41
nov.2018;7,31
dic.2018;7,15
ene.2019;7,13
feb.2019;7,03
mar.2019;7,24
abr.2019;7,10
may.2019;7,23
jun.2019;7,25
jul.2019;7,55
ago.2019;7,57
sept.2019;7,34
oct.2019;7,14
nov.2019;6,96
dic.2019;7,06
ene.2020;7,44
feb.2020;7,81
mar.2020;8,23
abr.2020;9,00
may.2020;11,21
jun.2020;12,22
jul.2020;13,09
ago.2020;12,91
sept.2020;12,35
oct.2020;11,58
nov.2020;10,76
dic.2020;10,29
ene.2021;10,23
feb.2021;10,30
mar.2021;10,35
abr.2021;10,24
may.2021;10,04
jun.2021;9,50
jul.2021;8,93
ago.2021;8,55
sept.2021;8,41
oct.2021;8,08
nov.2021;7,53
